#,Company,Symbol,YTD Return
370,CAPITAL ONE FINANCIAL CORP,COF,-8.10%
371,HP INC,HPQ,-8.12%
372,LENNAR CORP A,LEN,-8.18%
373,NVR INC,NVR,-8.26%
374,BXP INC,BXP,-8.32%
375,TRANE TECHNOLOGIES PLC,TT,-8.39%
376,HALLIBURTON CO,HAL,-8.46%
377,REGIONS FINANCIAL CORP,RF,-8.46%
378,AES CORP,AES,-8.47%
379,CLOROX COMPANY,CLX,-8.84%
380,ONEOK INC,OKE,-8.94%
381,HOLOGIC INC,HOLX,-8.97%
382,CITIZENS FINANCIAL GROUP,CFG,-9.03%
383,DEXCOM INC,DXCM,-9.07%
384,MSCI INC,MSCI,-9.11%
385,APPLE INC,AAPL,-9.16%
386,INSULET CORP,PODD,-9.20%
387,KIMCO REALTY CORP,KIM,-9.22%
388,HOST HOTELS + RESORTS INC,HST,-9.25%
389,AGILENT TECHNOLOGIES INC,A,-9.26%
390,MARTIN MARIETTA MATERIALS,MLM,-9.36%
391,BANK OF AMERICA CORP,BAC,-9.37%
392,DISCOVER FINANCIAL SERVICES,DFS,-9.37%
393,FREEPORT MCMORAN INC,FCX,-9.40%
394,PNC FINANCIAL SERVICES GROUP,PNC,-9.46%
395,CARMAX INC,KMX,-9.49%
396,CONSTELLATION ENERGY,CEG,-9.61%
397,CF INDUSTRIES HOLDINGS INC,CF,-9.63%
398,CROWDSTRIKE HOLDINGS INC A,CRWD,-9.73%
399,GENERAL MOTORS CO,GM,-9.74%
400,EMERSON ELECTRIC CO,EMR,-9.76%
401,AMERIPRISE FINANCIAL INC,AMP,-9.78%
402,MICROSOFT CORP,MSFT,-9.81%
403,DOLLAR TREE INC,DLTR,-10.01%
404,HUNTINGTON BANCSHARES INC,HBAN,-10.02%
405,MOTOROLA SOLUTIONS INC,MSI,-10.07%
406,ROYAL CARIBBEAN CRUISES LTD,RCL,-10.17%
407,PRUDENTIAL FINANCIAL INC,PRU,-10.28%
408,BOOKING HOLDINGS INC,BKNG,-10.41%
409,DANAHER CORP,DHR,-10.59%
410,ORACLE CORP,ORCL,-10.71%
411,BLACKROCK INC,BLK,-10.72%
412,FEDERAL REALTY INVS TRUST,FRT,-10.92%
413,IDEX CORP,IEX,-11.02%
414,AMPHENOL CORP CL A,APH,-11.03%
415,MORGAN STANLEY,MS,-11.16%
416,ALBEMARLE CORP,ALB,-11.26%
417,AMAZON.COM INC,AMZN,-11.33%
418,RAYMOND JAMES FINANCIAL INC,RJF,-11.40%
419,US BANCORP,USB,-11.42%
420,SYNOPSYS INC,SNPS,-11.44%
421,PACKAGING CORP OF AMERICA,PKG,-11.50%
422,KEYCORP,KEY,-11.55%
423,STATE STREET CORP,STT,-11.56%
424,LAS VEGAS SANDS CORP,LVS,-11.72%
425,FIDELITY NATIONAL INFO SERV,FIS,-11.76%
426,ALPHABET INC CL C,GOOG,-11.88%
427,EQUINIX INC,EQIX,-11.91%
428,AMERICAN EXPRESS CO,AXP,-11.95%
429,AKAMAI TECHNOLOGIES INC,AKAM,-12.02%
430,FEDEX CORP,FDX,-12.38%
431,ALPHABET INC CL A,GOOGL,-12.38%
432,PTC INC,PTC,-12.43%
433,GODADDY INC CLASS A,GDDY,-12.64%
434,ROSS STORES INC,ROST,-12.66%
435,T ROWE PRICE GROUP INC,TROW,-12.66%
436,BIO TECHNE CORP,TECH,-12.68%
437,LULULEMON ATHLETICA INC,LULU,-12.72%
438,COOPER COS INC/THE,COO,-13.10%
439,AXON ENTERPRISE INC,AXON,-13.27%
440,GLOBAL PAYMENTS INC,GPN,-13.38%
441,MODERNA INC,MRNA,-13.52%
442,VULCAN MATERIALS CO,VMC,-13.95%
443,DIAMONDBACK ENERGY INC,FANG,-14.19%
444,CONSTELLATION BRANDS INC A,STZ,-14.27%
445,FMC CORP,FMC,-14.46%
446,FAIR ISAAC CORP,FICO,-14.85%
447,UNITED RENTALS INC,URI,-14.86%
448,INVESCO LTD,IVZ,-15.22%
449,GENERAC HOLDINGS INC,GNRC,-15.25%
450,PENTAIR PLC,PNR,-15.35%
451,TARGET CORP,TGT,-15.78%
452,AUTODESK INC,ADSK,-15.96%
453,SOUTHWEST AIRLINES CO,LUV,-16.18%
454,BOEING CO/THE,BA,-16.30%
455,EATON CORP PLC,ETN,-16.35%
456,TERADYNE INC,TER,-16.64%
457,DELTA AIR LINES INC,DAL,-16.81%
458,CHIPOTLE MEXICAN GRILL INC,CMG,-17.36%
459,APA CORP,APA,-17.63%
460,GE VERNOVA INC,GEV,-17.88%
461,DIGITAL REALTY TRUST INC,DLR,-17.88%
462,SALESFORCE INC,CRM,-18.37%
463,CAESARS ENTERTAINMENT INC,CZR,-18.43%
464,ULTA BEAUTY INC,ULTA,-18.50%
465,EPAM SYSTEMS INC,EPAM,-18.57%
466,SKYWORKS SOLUTIONS INC,SWKS,-18.75%
467,BLACKSTONE INC,BX,-19.17%
468,HUBBELL INC,HUBB,-19.39%
469,SYNCHRONY FINANCIAL,SYF,-19.54%
470,SMURFIT WESTROCK PLC,SW,-19.81%
471,ADVANCED MICRO DEVICES,AMD,-20.00%
472,UNITED AIRLINES HOLDINGS INC,UAL,-20.06%
473,PAYPAL HOLDINGS INC,PYPL,-20.14%
474,NVIDIA CORP,NVDA,-20.34%
475,BROADCOM INC,AVGO,-20.44%
476,IRON MOUNTAIN INC,IRM,-20.65%
477,NETAPP INC,NTAP,-20.70%
478,SEMPRA,SRE,-20.80%
479,P G + E CORP,PCG,-21.16%
480,VISTRA CORP,VST,-21.31%
481,LAMB WESTON HOLDINGS INC,LW,-21.49%
482,DELL TECHNOLOGIES C,DELL,-21.61%
483,ALIGN TECHNOLOGY INC,ALGN,-21.64%
484,CELANESE CORP,CE,-21.66%
485,CADENCE DESIGN SYS INC,CDNS,-22.13%
486,TELEFLEX INC,TFX,-22.20%
487,CARNIVAL CORP,CCL,-23.43%
488,VIATRIS INC,VTRS,-23.69%
489,APOLLO GLOBAL MANAGEMENT INC,APO,-23.70%
490,FIRST SOLAR INC,FSLR,-24.47%
491,DAYFORCE INC,DAY,-24.68%
492,QUANTA SERVICES INC,PWR,-25.10%
493,SERVICENOW INC,NOW,-26.06%
494,ZEBRA TECHNOLOGIES CORP CL A,ZBRA,-26.63%
495,KKR + CO INC,KKR,-26.87%
496,NORWEGIAN CRUISE LINE HOLDIN,NCLH,-27.17%
497,EDISON INTERNATIONAL,EIX,-28.62%
498,HEWLETT PACKARD ENTERPRISE,HPE,-29.37%
499,ARISTA NETWORKS INC,ANET,-29.83%
500,ON SEMICONDUCTOR,ON,-29.96%
501,WEST PHARMACEUTICAL SERVICES,WST,-30.99%
502,WESTERN DIGITAL CORP,WDC,-32.01%
503,DECKERS OUTDOOR CORP,DECK,-40.37%
504,TESLA INC,TSLA,-44.99%
